
55.375;75.8125;[70];[-28.373616517050852];[65.00287893328817]

55.375;75.8125;[70];[-28.373616517050852];[65.00287893328817]

55.5;75.1875;[70];[17.962084312609417];[74.43220710560756]

55.5;74.5;[70];[208.69189340086544];[231.2461325532304]

55.625;74.5;[70];[143.85319932562953];[146.72149836114426]

55.625;74.5;[70];[143.85319932562953];[146.72149836114426]

55.625;74.5;[70];[143.85319932562953];[146.72149836114426]

55.625;74.5;[70];[143.85319932562953];[146.72149836114426]

55.625;73.8125;[70];[-239.1508725175062];[-190.82019469381927]

55.75;73.8125;[70];[-408.90349985705853];[-292.98226249315456]

55.75;73.8125;[70];[-408.90349985705853];[-292.98226249315456]

55.75;73.8125;[70];[-408.90349985705853];[-292.98226249315456]

55.75;73.8125;[70];[-408.90349985705853];[-292.98226249315456]

55.75;73.8125;[70];[-408.90349985705853];[-292.98226249315456]

55.75;73.8125;[70];[-408.90349985705853];[-292.98226249315456]

55.75;72.75;[70];[-35.11873487012946];[-53.125516736407384]

55.625;72.75;[70];[-33.90564489044961];[-57.11736690790376]

55.625;72.75;[70];[-33.90564489044961];[-57.11736690790376]

55.625;72.75;[70];[-33.90564489044961];[-57.11736690790376]

55.625;72.75;[70];[-33.90564489044961];[-57.11736690790376]

55.625;72.75;[70];[-33.90564489044961];[-57.11736690790376]

55.625;72.75;[70];[-33.90564489044961];[-57.11736690790376]

55.5;72.75;[70];[-33.27547836590289];[-60.89969917336738]

55.5;72.75;[70];[-33.27547836590289];[-60.89969917336738]

55.5;72.75;[70];[-33.27547836590289];[-60.89969917336738]

55.5;72.75;[70];[-33.27547836590289];[-60.89969917336738]

55.5;72.75;[70];[-33.27547836590289];[-60.89969917336738]

55.5;71.8125;[70];[45.63605768238136];[-92.05943839518325]

55.5;71.8125;[70];[45.63605768238136];[-92.05943839518325]

55.5;71.8125;[70];[45.63605768238136];[-92.05943839518325]

55.5;71.8125;[70];[45.63605768238136];[-92.05943839518325]

55.5;71.8125;[70];[45.63605768238136];[-92.05943839518325]

55.5;71.8125;[70];[45.63605768238136];[-92.05943839518325]

55.5;70.875;[70];[-317.9926764693814];[280.6291909852669]

55.25;70.875;[70];[-152.43002350272508];[149.48737010077653]

54.75;70.875;[70];[-83.46533861072585];[82.78446172754079]

54.75;70.875;[70];[-83.46533861072585];[82.78446172754079]

54.75;70.875;[70];[-83.46533861072585];[82.78446172754079]

54.75;70.875;[70];[-83.46533861072585];[82.78446172754079]

54.75;69.9375;[70];[-54.31005953541727];[72.19494480630597]

54.75;69.9375;[70];[-54.31005953541727];[72.19494480630597]

54.5;69.9375;[70];[-61.51403608427497];[74.53775200482802]

54.5;69.9375;[70];[-61.51403608427497];[74.53775200482802]

54.5;69.9375;[70];[-61.51403608427497];[74.53775200482802]

54.5;69.9375;[70];[-61.51403608427497];[74.53775200482802]

54.5;69.9375;[70];[-61.51403608427497];[74.53775200482802]

54.5;69.9375;[70];[-61.51403608427497];[74.53775200482802]

54.5;69.0625;[70];[33.135300396968844];[560.2930124888261]

54.5;69.0625;[70];[33.135300396968844];[560.2930124888261]

54.25;69.0625;[70];[-26.563212866533526];[-377.64799946337195]

54.25;69.0625;[70];[-26.563212866533526];[-377.64799946337195]

54.25;69.0625;[70];[-26.563212866533526];[-377.64799946337195]

54.25;68.125;[70];[-66.48688126884548];[-59.37295860657979]

54.25;68.125;[70];[-66.48688126884548];[-59.37295860657979]

54.25;68.125;[70];[-66.48688126884548];[-59.37295860657979]

54.25;68.125;[70];[-66.48688126884548];[-59.37295860657979]

54.25;68.125;[70];[-66.48688126884548];[-59.37295860657979]

53.625;68.125;[70];[-59.02546469876765];[-15.264147240060995]

53.625;68.125;[70];[-59.02546469876765];[-15.264147240060995]

53.625;68.125;[70];[-59.02546469876765];[-15.264147240060995]

53.25;67.375;[70];[-222.53430100865316];[35.315604597608456]

53.25;67.375;[70];[-222.53430100865316];[35.315604597608456]

53.25;67.375;[70];[-222.53430100865316];[35.315604597608456]

53.25;67.375;[70];[-222.53430100865316];[35.315604597608456]

53.25;67.375;[70];[-222.53430100865316];[35.315604597608456]

53.25;67.375;[70];[-222.53430100865316];[35.315604597608456]

53.25;67.375;[70];[-222.53430100865316];[35.315604597608456]

53.25;67.375;[70];[-222.53430100865316];[35.315604597608456]

53.25;66.6875;[70];[126.04588917841136];[-30.107295188262135]

53.25;66.6875;[70];[126.04588917841136];[-30.107295188262135]

52.875;66.6875;[70];[67.45453907248881];[-52.253870161559654]

52.875;66.0;[70];[1.8759169740004664];[-35.84383604378307]

52.875;66.0;[70];[1.8759169740004664];[-35.84383604378307]

52.5;66.0;[70];[1.9129297489626893];[-56.751761552479756]

52.5;66.0;[70];[1.9129297489626893];[-56.751761552479756]

52.5;66.0;[70];[1.9129297489626893];[-56.751761552479756]

52.5;66.0;[70];[1.9129297489626893];[-56.751761552479756]

52.5;65.4375;[70];[-51.3832327381758];[-79.2607326288027]

52.5;65.4375;[70];[-51.3832327381758];[-79.2607326288027]

52.5;65.4375;[70];[-51.3832327381758];[-79.2607326288027]

52.5;65.4375;[70];[-51.3832327381758];[-79.2607326288027]

52.125;65.4375;[70];[-93.0369188609382];[-174.65042424143934]

51.75;65.4375;[70];[-1847.150627997861];[-3603.7676552383678]

51.75;65.4375;[70];[-1847.150627997861];[-3603.7676552383678]

51.75;64.9375;[70];[130.25577459740936];[150.83634264065378]

51.375;64.9375;[70];[79.76756475636537];[83.0255299243237]

51.375;64.9375;[70];[79.76756475636537];[83.0255299243237]

51.375;64.9375;[70];[79.76756475636537];[83.0255299243237]

51.375;64.9375;[70];[79.76756475636537];[83.0255299243237]

51.375;64.9375;[70];[79.76756475636537];[83.0255299243237]

51.375;64.4375;[70];[71.60846278120077];[64.16319757546158]

51.0;64.4375;[70];[70.860894832871];[47.52189542417378]

51.0;64.4375;[70];[70.860894832871];[47.52189542417378]

51.0;64.4375;[70];[70.860894832871];[47.52189542417378]

51.0;64.4375;[70];[70.860894832871];[47.52189542417378]

51.0;64.4375;[70];[70.860894832871];[47.52189542417378]

